source_url,title,type_slug,group_label,target_filename,category_slug,notes
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-LINEA-RESIDENZIALE.pdf,Dichiarazione CE Linea Residenziale,dichiarazione-ce,Linea Residenziale,DICH-CONF-CE-LINEA-RESIDENZIALE.pdf,linea-residenziale-r32,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-LINEA-RESIDENZIALE-WTZ-MWTZ.pdf,Dichiarazione CE WTZ e MWTZ,dichiarazione-ce,Linea Residenziale,DICH-CONF-CE-LINEA-RESIDENZIALE-WTZ-MWTZ.pdf,linea-residenziale-r32,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-LINEA-COMMERCIALE.pdf,Dichiarazione CE Linea Commerciale,dichiarazione-ce,Linea Commerciale,DICH-CONF-CE-LINEA-COMMERCIALE.pdf,linea-commerciale-r32,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-LINEA-VRF.pdf,Dichiarazione CE Linea VRF,dichiarazione-ce,Linea VRF,DICH-CONF-CE-LINEA-VRF.pdf,linea-vrf,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-PDC-MONOBLOCCO-IGC-IHC-IHR.pdf,Dichiarazione CE PdC Monoblocco IGC IHC IHR,dichiarazione-ce,Linea Idronica,DICH-CONF-CE-PDC-MONOBLOCCO-IGC-IHC-IHR.pdf,linea-idronica,URL verificato dalla pagina CE
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-SCALDACQUA-ACS-SOL.pdf,Dichiarazione CE Scaldacqua ACS SOL,dichiarazione-ce,Linea Idronica,DICH-CONF-CE-SCALDACQUA-ACS-SOL.pdf,linea-idronica,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-RECUPERATORI-IDHR.pdf,Dichiarazione CE Recuperatori IDHR,dichiarazione-ce,Altri Prodotti,DICH-CONF-CE-RECUPERATORI-IDHR.pdf,altri-prodotti,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/DICH-CONF-CE-COMANDI-REMOTI.pdf,Dichiarazione CE Comandi Remoti,dichiarazione-ce,Accessori,DICH-CONF-CE-COMANDI-REMOTI.pdf,,Verificato sul sito storico
https://www.idemaclima.it/wp-content/uploads/schede/REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,Scheda tecnica Mini Chiller IGC R32,scheda-tecnica,Mini Chiller,REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,linea-idronica-refrigeratori-mini-chiller,URL estratto dalla pagina Mini Chiller; nessun match esatto filename trovato nel repo Lovable
https://www.idemaclima.it/wp-content/uploads/schede/DF_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,Detrazioni fiscali Mini Chiller IGC R32,detrazioni-fiscali,Mini Chiller,DF_REF_MINI_CHILLER_IGC_DC_INVERTER_R32.pdf,linea-idronica-refrigeratori-mini-chiller,URL estratto dalla pagina Mini Chiller
